"","year","month","day","dust","temp","wind","rain","bike_use"
"1",2018,1,1,18,7.8,22.6,1.1,10235
"2",2018,1,2,26,8.5,19.6,12.8,14394
"3",2018,1,3,29,9.9,38.8,2.4,20265
"4",2018,1,4,22,8.9,25.6,10.3,17543
"5",2018,1,5,25,7.5,17.9,0,21759
"6",2018,1,6,27,4.3,10.3,0,13920
"7",2018,1,7,17,4,18.6,0,12259
"8",2018,1,8,28,5,23.6,0,23374
"9",2018,1,9,38,5.8,11.8,0,24683
"10",2018,1,10,33,8.4,13.8,0.7,26787
"11",2018,1,11,34,7.2,7.9,0.2,25222
"12",2018,1,12,32,7.3,8.4,0.7,24696
"13",2018,1,13,30,6.2,17,0,17512
"14",2018,1,14,35,6,10.2,0,15070
"15",2018,1,15,19,8.9,26.3,9,19161
"16",2018,1,16,17,6.4,30,0,26921
"17",2018,1,17,22,5.9,31.5,1.1,26934
"18",2018,1,18,21,8.7,35.3,1.3,26471
"19",2018,1,19,33,4.8,22.5,0,25799
"20",2018,1,20,20,4.2,12.7,5.3,9398
"21",2018,1,21,22,4.3,11.8,12.3,5859
"22",2018,1,22,24,9.9,17.4,0,26337
"23",2018,1,23,20,11.3,19.4,0.4,26003
"24",2018,1,24,18,10.9,27.3,11.4,20206
"25",2018,1,25,29,8.5,18.1,0,28189
"26",2018,1,26,37,6.3,7.5,0,26430
"27",2018,1,27,26,8.3,17.1,0.9,14472
"28",2018,1,28,17,12,25.1,0,17512
"29",2018,1,29,19,10.9,26.1,0.7,26371
"30",2018,1,30,35,6.3,11.3,0.7,28002
"31",2018,1,31,20,7.7,27.4,1.8,24117
"32",2018,2,1,23,5.8,25.1,1.1,25525
"33",2018,2,2,28,6,17.9,0,25331
"34",2018,2,3,23,5,8.1,4.8,8975
"35",2018,2,4,15,4.1,13,0,13833
"36",2018,2,5,22,3.1,12.1,0,23898
"37",2018,2,6,37,2.6,11.5,0,25349
"38",2018,2,7,45,3,11.3,0,25388
"39",2018,2,8,35,4.3,15.2,0,25791
"40",2018,2,9,22,5.8,24.1,7.7,21037
"41",2018,2,10,24,5.3,19.9,3.7,9956
"42",2018,2,11,12,6.3,30.4,1.5,14621
"43",2018,2,12,26,3.9,19,0,24719
"44",2018,2,13,18,4.8,18.8,2.4,20931
"45",2018,2,14,22,5,17.3,8.4,18866
"46",2018,2,15,28,8.5,18.6,0.4,25264
"47",2018,2,16,36,6.1,12.8,0,25411
"48",2018,2,17,37,6.2,7.3,0,23169
"49",2018,2,18,31,6.9,8.6,0,18624
"50",2018,2,19,29,9.2,10.8,1.8,19879
"51",2018,2,20,20,8.2,14.8,0.4,25055
"52",2018,2,21,48,4.8,8.5,0,26434
"53",2018,2,22,34,3.9,16.1,0,26179
"54",2018,2,23,31,2.7,19.8,0,23067
"55",2018,2,24,39,3,25.5,0,16522
"56",2018,2,25,22,2.1,23.6,0,14037
"57",2018,2,26,31,0.5,19.7,0.6,19204
"58",2018,2,27,36,-1.4,11.1,0.6,18741
"59",2018,2,28,27,-3,20.2,5.5,10619
"60",2018,3,1,42,-1.5,36.9,2.9,8744
"61",2018,3,2,48,-0.3,34.9,2.2,8234
"62",2018,3,3,64,2.5,25.8,0.7,7924
"63",2018,3,4,31,6.2,11.4,0.2,10853
"64",2018,3,5,26,7.9,16.9,0.4,24818
"65",2018,3,6,27,8.3,12.2,0.4,26301
"66",2018,3,7,29,6.9,12.8,3.3,22044
"67",2018,3,8,22,7.7,24.2,1.3,25967
"68",2018,3,9,31,7.3,11.1,7.3,18912
"69",2018,3,10,29,12.2,15,0.2,18717
"70",2018,3,11,33,8.4,14.1,2.4,16259
"71",2018,3,12,22,8.8,17.6,5.7,19996
"72",2018,3,13,26,8.2,14.8,0,28069
"73",2018,3,14,21,9.2,20.1,0,28769
"74",2018,3,15,21,10,17.2,4.8,25318
"75",2018,3,16,30,10.6,13.7,1.5,28308
"76",2018,3,17,25,1.8,22.6,4.4,8106
"77",2018,3,18,31,0.7,25.5,3.3,6624
"78",2018,3,19,36,1.7,18.3,0,20488
"79",2018,3,20,33,5,12.5,0.1,24582
"80",2018,3,21,35,6.4,14.9,0,27719
"81",2018,3,22,32,8.2,20.1,0,27228
"82",2018,3,23,37,9.7,20.6,0,26894
"83",2018,3,24,42,8.1,10.2,1.3,18804
"84",2018,3,25,45,9.1,5.4,0,19723
"85",2018,3,26,35,9.6,9.6,0,29486
"86",2018,3,27,23,9.7,16.9,4.4,22603
"87",2018,3,28,22,6.6,13.5,11.7,15800
"88",2018,3,29,26,6.6,14.8,3.5,20237
"89",2018,3,30,17,6.6,17.2,10.8,6362
"90",2018,3,31,17,6.5,15.7,2.6,11032
"91",2018,4,1,17,6.2,12.9,0,13504
"92",2018,4,2,17,9.3,14.9,13.6,7998
"93",2018,4,3,21,12,20,1.8,22708
"94",2018,4,4,21,10.8,23.5,0.2,23173
"95",2018,4,5,16,8.7,18.1,0,30508
"96",2018,4,6,25,10.9,18,0,30690
"97",2018,4,7,36,12.8,11,0,25909
"98",2018,4,8,28,10.9,5.6,6.2,9759
"99",2018,4,9,27,9.3,13.3,7,16324
"100",2018,4,10,36,10.7,11.6,4,26751
"101",2018,4,11,48,9.8,7.7,2.4,24883
"102",2018,4,12,42,8.9,9.8,0.1,26473
"103",2018,4,13,38,9.6,10.5,0,27363
"104",2018,4,14,48,12.7,12.3,0,34235
"105",2018,4,15,36,12.1,14.2,0.2,21324
"106",2018,4,16,28,12.4,18.2,0,30730
"107",2018,4,17,26,15.3,20.3,0,33025
"108",2018,4,18,34,17.7,13.3,0,40544
"109",2018,4,19,51,19.6,10,0,43585
"110",2018,4,20,41,20,11,0,45048
"111",2018,4,21,49,15.7,16.9,0,42328
"112",2018,4,22,38,18.3,18.6,3.7,38395
"113",2018,4,23,24,13.1,22.8,0,35940
"114",2018,4,24,23,14.1,23.2,0.4,33430
"115",2018,4,25,21,12.1,25.7,0.4,33426
"116",2018,4,26,25,11.3,23.2,0.4,34995
"117",2018,4,27,23,10.5,13.8,7.7,21387
"118",2018,4,28,17,9.3,10,2.2,17368
"119",2018,4,29,12,7.9,13.7,0,15822
"120",2018,4,30,20,7.4,21.1,5.3,17112
"121",2018,5,1,23,9.9,18.7,0,34598
"122",2018,5,2,17,11,19.5,4.6,23727
"123",2018,5,3,27,12,11.1,0,35477
"124",2018,5,4,30,15.4,9.2,0,36447
"125",2018,5,5,36,15.4,11.9,0,39070
"126",2018,5,6,41,16.7,11.4,0,40606
"127",2018,5,7,45,18.9,10,0,45435
"128",2018,5,8,46,19.1,13.9,0,41579
"129",2018,5,9,28,16.5,13.8,0,41130
"130",2018,5,10,22,14.2,17.1,2.2,38054
"131",2018,5,11,28,14.3,16.1,0,38386
"132",2018,5,12,27,14.3,8.4,7.3,16717
"133",2018,5,13,25,15.7,8.5,0,29190
"134",2018,5,14,21,14.9,15.4,0,38095
"135",2018,5,15,21,16.5,12.7,0,42106
"136",2018,5,16,23,12.7,13.8,0,34627
"137",2018,5,17,25,11.6,13,0,37549
"138",2018,5,18,27,12,9.8,0,37305
"139",2018,5,19,35,14.2,11.1,0,36895
"140",2018,5,20,34,13.7,14.7,0,39964
"141",2018,5,21,45,16,8.3,0,38800
"142",2018,5,22,35,16.6,13.9,0,41242
"143",2018,5,23,32,14.5,15.8,0,38229
"144",2018,5,24,51,16,10.1,2,31970
"145",2018,5,25,44,16.6,8.3,0,35108
"146",2018,5,26,57,19.7,20.1,0.4,33573
"147",2018,5,27,55,20.5,11.8,3.3,33192
"148",2018,5,28,59,20,9.8,2.2,36742
"149",2018,5,29,30,15.8,12.7,16.3,24312
"150",2018,5,30,34,16.9,8.4,0.4,34884
"151",2018,5,31,44,17.5,13.2,0,37677
"152",2018,6,1,35,19.3,11.2,0,37293
"153",2018,6,2,23,19.7,16,0,38293
"154",2018,6,3,23,20.6,11.7,0,39871
"155",2018,6,4,25,16.3,12.5,0,35255
"156",2018,6,5,20,14.4,14.1,0,37048
"157",2018,6,6,34,15.3,13.1,0,41592
"158",2018,6,7,28,16.9,13.1,0,37841
"159",2018,6,8,26,17.4,12.2,0,39576
"160",2018,6,9,28,16.9,12.9,0.2,36466
"161",2018,6,10,22,17.3,15,0.2,38562
"162",2018,6,11,22,17.6,16.6,0,41027
"163",2018,6,12,22,15,11,0,38487
"164",2018,6,13,29,17,12.3,0,40569
"165",2018,6,14,27,18.5,20.7,0.2,37871
"166",2018,6,15,25,19.3,12,0,39862
"167",2018,6,16,20,17.7,18.9,0,31329
"168",2018,6,17,19,16.4,20.4,0.2,26769
"169",2018,6,18,21,19.9,23.4,0,39768
"170",2018,6,19,18,21.4,19.8,0,41862
"171",2018,6,20,20,20.1,19.5,0,41134
"172",2018,6,21,29,16.3,18.8,0,41533
"173",2018,6,22,23,16.7,13.5,0,41765
"174",2018,6,23,25,18.6,13.6,0,38772
"175",2018,6,24,24,19.6,11.5,0,38982
"176",2018,6,25,30,22.8,9.1,0,44565
"177",2018,6,26,28,20.8,16.2,0,46084
"178",2018,6,27,28,18.1,19.5,0,44788
"179",2018,6,28,26,19.1,15.5,0,43075
"180",2018,6,29,25,19.7,15.8,0,43081
"181",2018,6,30,24,20.1,18.6,0,38522
"182",2018,7,1,26,22.8,15.5,0,37334
"183",2018,7,2,22,22.6,20.3,0,42556
"184",2018,7,3,21,20.1,23.8,0,44655
"185",2018,7,4,28,19.7,13,1.5,43511
"186",2018,7,5,35,23.4,10.2,0,44052
"187",2018,7,6,32,23.8,10.3,0,43143
"188",2018,7,7,36,24.8,12.1,0,36308
"189",2018,7,8,26,23.7,10.9,0,38196
"190",2018,7,9,27,22.8,12.3,0,41893
"191",2018,7,10,19,17.9,13.1,0,43535
"192",2018,7,11,28,18.1,10.7,0,44003
"193",2018,7,12,27,18.9,11.4,0,41826
"194",2018,7,13,29,20.2,14.8,16.9,38879
"195",2018,7,14,30,22.1,10.3,0,37733
"196",2018,7,15,25,24.7,9.7,0,37299
"197",2018,7,16,28,24.9,12.7,0,41828
"198",2018,7,17,21,20.6,19.6,0,43392
"199",2018,7,18,23,21.2,9.3,0,43183
"200",2018,7,19,25,22,12.6,0,42857
"201",2018,7,20,26,21.2,11,0,40297
"202",2018,7,21,29,23,8.7,0,38763
"203",2018,7,22,24,24,11.8,0,37683
"204",2018,7,23,24,26,12.5,0,42509
"205",2018,7,24,25,24.7,14.8,0,44195
"206",2018,7,25,29,24.6,11.3,0,44870
"207",2018,7,26,45,27.1,14.2,0,43343
"208",2018,7,27,32,25.6,11.1,7.3,34606
"209",2018,7,28,25,20.1,26.1,0,41145
"210",2018,7,29,16,19,21.4,4.8,18974
"211",2018,7,30,18,20.8,17.6,0,38274
"212",2018,7,31,21,20.2,15.7,5.9,42260
"213",2018,8,1,24,20.6,13,0,43691
"214",2018,8,2,25,23,11.4,0,43292
"215",2018,8,3,23,26.3,8.2,0,40908
"216",2018,8,4,21,23.4,13.4,0,39318
"217",2018,8,5,18,22.3,11.8,0,40220
"218",2018,8,6,27,24.9,9,0,41963
"219",2018,8,7,29,25.2,11.5,0.4,40954
"220",2018,8,8,19,20.5,20.4,0,42676
"221",2018,8,9,19,16.5,10.4,14.7,20574
"222",2018,8,10,19,16.1,17,7.5,29253
"223",2018,8,11,19,16.7,12.9,0.9,33214
"224",2018,8,12,16,19.6,14.2,0.9,23113
"225",2018,8,13,19,19.8,15.8,0.4,36510
"226",2018,8,14,19,20.4,18.4,0,40735
"227",2018,8,15,22,20.3,19.2,0,40930
"228",2018,8,16,23,18.1,16.7,15.2,28400
"229",2018,8,17,22,18,15.8,0,36869
"230",2018,8,18,21,19.3,18.1,0,31691
"231",2018,8,19,18,21.4,20,0,32209
"232",2018,8,20,19,22.4,12.8,0,37839
"233",2018,8,21,24,22.3,10.9,0,40293
"234",2018,8,22,21,19.6,14.7,0,38401
"235",2018,8,23,18,19.6,17.8,0.7,34492
"236",2018,8,24,17,15.5,23.7,5.3,27839
"237",2018,8,25,17,14.5,16.5,1.5,25490
"238",2018,8,26,18,15.5,15.2,13.6,8177
"239",2018,8,27,15,17.6,20.9,0,25059
"240",2018,8,28,22,18.3,9.2,0,34791
"241",2018,8,29,24,16.8,10,9.9,27070
"242",2018,8,30,23,16.4,7.5,0,37001
"243",2018,8,31,24,16.6,9.8,0,35209
"244",2018,9,1,27,18.4,9.4,0,35326
"245",2018,9,2,27,17.8,11,0,35048
"246",2018,9,3,33,18.3,7,0,36068
"247",2018,9,4,28,16.9,10.7,0,36581
"248",2018,9,5,25,17.1,10.2,0,36059
"249",2018,9,6,27,16.8,12.7,0,34778
"250",2018,9,7,19,15.2,20.1,0,35451
"251",2018,9,8,24,15.7,15.9,0,28318
"252",2018,9,9,19,18.9,16.3,0,30598
"253",2018,9,10,21,18,19.4,0,36965
"254",2018,9,11,19,19.9,23.8,1.3,37221
"255",2018,9,12,23,14.4,8.7,3.1,33403
"256",2018,9,13,25,15.1,10.7,0,38708
"257",2018,9,14,20,15.2,17.9,0,35332
"258",2018,9,15,22,16.6,14.3,0,33465
"259",2018,9,16,19,18.7,15.8,0,32055
"260",2018,9,17,20,20.9,15.6,0,39190
"261",2018,9,18,21,20,24.3,0,38360
"262",2018,9,19,27,20.1,26,0,37027
"263",2018,9,20,25,19.9,26.4,0.9,35317
"264",2018,9,21,22,15,34.7,2.4,32942
"265",2018,9,22,18,12.2,15.7,8.8,12376
"266",2018,9,23,14,11.3,13.2,12.1,13192
"267",2018,9,24,23,11.4,9.3,0,34563
"268",2018,9,25,33,12.2,8.7,0,36730
"269",2018,9,26,29,15.5,11.6,0,39281
"270",2018,9,27,34,17.1,11.4,0,39835
"271",2018,9,28,19,14.1,13,0,35817
"272",2018,9,29,35,12.6,4.5,0,32941
"273",2018,9,30,21,12.2,13,0,25254
"274",2018,10,1,18,11.8,15.9,11.2,34411
"275",2018,10,2,18,16.1,22.3,0,37515
"276",2018,10,3,23,16,12.3,0,38434
"277",2018,10,4,28,13.9,11.3,0,36930
"278",2018,10,5,37,15.4,6.4,0,39569
"279",2018,10,6,22,11.4,12.4,8.8,10043
"280",2018,10,7,18,10.6,9.2,0,25713
"281",2018,10,8,22,12.8,12,0,35156
"282",2018,10,9,26,15.5,9.9,0,39132
"283",2018,10,10,48,15.8,14.9,0,39398
"284",2018,10,11,26,18.2,17.5,0.2,35875
"285",2018,10,12,21,19.2,22.1,0,35747
"286",2018,10,13,23,22.2,19.9,0,36393
"287",2018,10,14,13,14.6,11.5,12.5,10292
"288",2018,10,15,19,13.8,7.5,10.3,28044
"289",2018,10,16,33,16.9,12.2,0,37920
"290",2018,10,17,26,13.9,6.4,1.3,30482
"291",2018,10,18,22,13,9.8,0,35206
"292",2018,10,19,30,11.3,5.6,0,34707
"293",2018,10,20,45,12.8,7.2,0,32588
"294",2018,10,21,26,14.9,10.3,0,32484
"295",2018,10,22,23,11.2,10.4,0,34430
"296",2018,10,23,26,11.9,17.2,0,34889
"297",2018,10,24,22,14.3,13.8,0,35656
"298",2018,10,25,25,11.1,12,0,34640
"299",2018,10,26,16,10.2,18.4,1.3,27636
"300",2018,10,27,13,5.8,15.9,0,18756
"301",2018,10,28,12,7,13.3,1.5,13675
"302",2018,10,29,15,6.3,10.8,0,29409
"303",2018,10,30,19,7.8,19.7,0,30269
"304",2018,10,31,29,8.6,11.7,0.4,32891
"305",2018,11,1,26,10.7,11.2,6.4,23475
"306",2018,11,2,34,7.3,10.5,0,31083
"307",2018,11,3,27,10,11.6,0,25142
"308",2018,11,4,28,10.5,10.6,0,21829
"309",2018,11,5,52,11.3,11.3,0,31421
"310",2018,11,6,36,13.7,13,0,33038
"311",2018,11,7,19,13,20.7,5.3,27656
"312",2018,11,8,24,10,17.3,0,32933
"313",2018,11,9,23,10.8,16.9,5.5,27403
"314",2018,11,10,21,11.9,12.2,19.1,14732
"315",2018,11,11,17,11.8,14,4,18455
"316",2018,11,12,22,12.2,15.6,1.5,26077
"317",2018,11,13,27,11.7,14.9,0,32062
"318",2018,11,14,27,12.6,12.2,0,33339
"319",2018,11,15,37,12.7,9.2,0,33043
"320",2018,11,16,25,10.2,12.9,0,28581
"321",2018,11,17,32,9.3,19.1,0.2,20518
"322",2018,11,18,23,8.7,16.3,0,9585
"323",2018,11,19,16,7.5,20.5,2.2,18246
"324",2018,11,20,21,4.9,15.3,5.5,15237
"325",2018,11,21,32,4.3,11.3,0.7,25022
"326",2018,11,22,51,3.7,6.2,0,26112
"327",2018,11,23,47,7.2,10.6,0,25881
"328",2018,11,24,33,8.7,15.7,0.1,15813
"329",2018,11,25,27,7.7,14,0,14529
"330",2018,11,26,23,7.2,8.7,0.1,27509
"331",2018,11,27,26,6.8,12.5,4.2,22128
"332",2018,11,28,19,12.9,19,4.6,22846
"333",2018,11,29,21,13,22.5,2,25714
"334",2018,11,30,25,10.2,15.3,0,28615
"335",2018,12,1,19,11.1,15.2,0,14046
"336",2018,12,2,15,14.3,20.6,1.3,15990
"337",2018,12,3,20,12.1,21,0.9,25801
"338",2018,12,4,28,7.2,7.8,1.3,28982
"339",2018,12,5,22,10.7,15.3,5.3,23816
"340",2018,12,6,26,12.9,19.1,0.2,16600
"341",2018,12,7,16,11.4,24.7,6.4,18608
"342",2018,12,8,20,10.3,30.7,0.2,16515
"343",2018,12,9,14,10.2,26.4,1.1,15441
"344",2018,12,10,19,8.5,15.6,0,27880
"345",2018,12,11,35,6.7,7.8,0,28904
"346",2018,12,12,26,6.5,16.5,0,27494
"347",2018,12,13,31,3.6,21.7,0,25997
"348",2018,12,14,43,3.5,8.3,0,24076
"349",2018,12,15,25,3.6,20.7,11.2,8076
"350",2018,12,16,21,8.3,11.8,6.2,12123
"351",2018,12,17,28,8.5,16.2,0,24973
"352",2018,12,18,21,10.5,20.2,4.2,20180
"353",2018,12,19,21,9,14.2,2,22425
"354",2018,12,20,21,9.3,16.5,0,23694
"355",2018,12,21,26,12.2,24.5,9.5,19169
"356",2018,12,22,22,10.6,20.7,0,13310
"357",2018,12,23,15,9.9,12.2,5.1,6748
"358",2018,12,24,29,6.3,5.6,0,10043
"359",2018,12,25,31,4.8,5,0,35267
"360",2018,12,26,24,8.4,5.5,0.2,10841
"361",2018,12,27,48,6,4,0,12310
"362",2018,12,28,38,8.5,9.2,0,13794
"363",2018,12,29,22,10.8,15.5,0,13100
"364",2018,12,30,17,9.8,12.8,0,12922
"365",2018,12,31,NA,10.1,12.9,0,16305
"366",2019,1,1,15,9.3,14.5,13.2,14148
"367",2019,1,2,22,5.8,9.1,0,19746
"368",2019,1,3,26,5.2,6.5,0,21552
"369",2019,1,4,39,3.6,7.2,0,20863
"370",2019,1,5,31,5.5,12.7,0,13907
"371",2019,1,6,29,8.2,10.2,0,14262
"372",2019,1,7,25,10.1,17.9,0,25668
"373",2019,1,8,24,8.2,18.8,0,27757
"374",2019,1,9,22,5,14.8,0.1,26568
"375",2019,1,10,34,4,8.5,0,26022
"376",2019,1,11,25,8,9.7,0,26378
"377",2019,1,12,17,9.5,20.7,0.2,16750
"378",2019,1,13,17,11.3,27.4,0,16304
