"date","counts","avg_temp","min_temp","max_temp","rainfall","wind_speed","humidity","snowfall","ground_temp","dust","year","month"
"2019-11-06",74812,11,6.3,16.5,0,1.8,63.6,0,11,49,"2019","11"
"2019-11-07",68315,9.2,5,13.6,0,2.7,42.8,0,10.3,45,"2019","11"
"2019-11-08",65110,6.8,1.1,13,0,1.9,31.4,0,7.3,NA,"2019","11"
"2019-11-09",60693,9.5,3.5,17.2,0,1.6,41.4,0,8.6,46,"2019","11"
"2019-11-10",40503,10,6.2,15.3,11.8,2.1,59.6,0,10.5,47,"2019","11"
"2019-11-11",58957,11.2,7.9,15.1,1.1,2.4,71.6,0,11.4,29,"2019","11"
"2019-11-12",68210,9.3,4.8,14.5,0,1.4,63.6,0,8.5,45,"2019","11"
"2019-11-13",39198,7.2,3,11.3,7.5,2.8,72.3,0,7.7,40,"2019","11"
"2019-11-14",45095,1.3,-2.5,5,0,2.9,30.6,0,2.6,20,"2019","11"
"2019-11-15",15069,5.6,1.4,7.6,18.8,2,87.4,0,6.2,NA,"2019","11"
"2019-11-16",45493,6.8,3.8,12.7,0,1.6,81.3,0,7.6,41,"2019","11"
"2019-11-17",11303,8.3,5.6,10.5,21.1,3.1,79.4,0,7.6,30,"2019","11"
"2019-11-18",37496,4.6,0.4,12.7,14.7,3.9,59.8,0,6.9,63,"2019","11"
"2019-11-19",40356,0.2,-3.5,4,0,2.8,48,0,2.4,28,"2019","11"
"2019-11-20",42026,0.5,-4.6,6.3,0,1.8,35.5,0,2,25,"2019","11"
"2019-11-21",47091,4.2,-2.3,9,0,1.9,37.4,0,2.9,40,"2019","11"
"2019-11-22",56700,9.7,3,17.3,0,2.1,34.1,0,6.3,43,"2019","11"
"2019-11-23",54283,12.1,7.7,17.7,0,1.8,52,0,8.7,30,"2019","11"
"2019-11-24",24304,9.8,4.6,15.6,3.8,2.2,74.6,0,8.7,34,"2019","11"
"2019-11-25",42677,1.9,-1.2,6,0,2.7,62.1,0,3.8,29,"2019","11"
"2019-11-26",52464,6.6,1.2,13.7,0,2,64,0,5.7,29,"2019","11"
"2019-11-27",46248,3.1,0.3,6.8,0,2.7,50.8,0,3.7,44,"2019","11"
"2019-11-28",46983,3.5,-0.6,10.4,0,2,52.4,0,3.8,44,"2019","11"
"2019-11-29",44689,1.5,-3.4,6.9,0,2,42.8,0,2.4,49,"2019","11"
"2019-11-30",38366,4.1,-1.4,9.3,0,1.7,42.6,0,3.2,NA,"2019","11"
"2019-12-01",9680,4.6,2.3,6.2,3.3,1.6,79.4,0,5.2,49,"2019","12"
"2019-12-02",34397,-0.1,-3.2,2.8,0,3.1,48,0,2,24,"2019","12"
"2019-12-03",33580,0.5,-5,4.2,0.6,1.6,61.3,0,1.4,31,"2019","12"
"2019-12-04",38576,2,-2,7.2,0,1.8,41.6,0,2.5,31,"2019","12"
"2019-12-05",29277,-4.4,-8.5,-0.2,0,3.2,31.9,0,-0.4,27,"2019","12"
"2019-12-06",26723,-5.9,-10.6,-1,0,1.7,34.5,0,-2.9,34,"2019","12"
"2019-12-07",23013,-2.4,-5.5,1.2,0.1,1.7,65,0,-1.3,60,"2019","12"
"2019-12-08",22597,-0.9,-5.5,4.9,0,1.4,65.1,0,-1,63,"2019","12"
"2019-12-09",34140,3.2,-1.3,8,0,2.5,56.8,0,0.7,78,"2019","12"
"2019-12-10",33275,8.1,6,10.8,1.7,1.2,82.3,0,5.9,120,"2019","12"
"2019-12-11",34049,6.3,0.1,9.8,0.2,3.4,62,0,5.8,79,"2019","12"
"2019-12-12",33704,-0.7,-3.5,3.4,0,1.8,45.4,0,0.6,25,"2019","12"
"2019-12-13",34258,2.1,-3.7,5.9,1,2,53.6,0,1.1,30,"2019","12"
"2019-12-14",27424,2.7,-0.1,6.4,0,2.3,58.3,0,3.1,46,"2019","12"
"2019-12-15",29692,5.3,0.4,11,0,2,52.5,0,3.1,40,"2019","12"
"2019-12-16",41750,7.8,2.1,12.9,0,1.9,58.9,0,4.6,38,"2019","12"
"2019-12-17",25644,7.7,3.2,10.2,9.8,2.3,81.4,0,6.9,36,"2019","12"
"2019-12-18",34899,0.8,-1.7,5.2,0,2.5,64.6,0,2.4,42,"2019","12"
"2019-12-19",32972,-0.8,-4.5,3.1,0,2.4,47.8,0,0.5,31,"2019","12"
"2019-12-20",32521,-1.1,-3.5,2,0,2.3,45.3,0,0.3,33,"2019","12"
"2019-12-21",20302,-1.2,-5.1,1.5,0.6,1.7,68.1,0,-1.4,44,"2019","12"
"2019-12-22",24430,4.1,0.3,8.4,0.3,1.7,63.4,0,2.2,67,"2019","12"
"2019-12-23",29028,3.4,0.3,5.2,2.9,2,80.4,0,3.4,61,"2019","12"
"2019-12-24",33334,0.8,-2.9,6.5,0,1.4,67.9,0,1.4,80,"2019","12"
"2019-12-25",22428,2,-2.7,6.6,0,1,60.8,0,1.5,58,"2019","12"
"2019-12-26",25007,2,-2.4,4.1,0.3,2.4,59,0,2.4,52,"2019","12"
"2019-12-27",29243,-1.7,-4.6,2.6,0,2.1,45.4,0,-0.9,37,"2019","12"
"2019-12-28",26046,1.1,-3.6,6.1,0,2,47.6,0,-0.7,47,"2019","12"
"2019-12-29",18701,3.8,1.1,6.2,1.4,2.9,52.5,0,1.7,47,"2019","12"
"2019-12-30",22952,2.7,-5.7,6.8,0.4,2.9,70.3,0,3.3,43,"2019","12"
"2019-12-31",18436,-7.9,-10.9,-4.5,0,3.1,39.3,0,-3.5,31,"2019","12"
"2020-01-01",16236,-2.2,-6.5,0.3,0.1,0.6,64.4,0,-0.9,39,"2020","01"
"2020-01-02",28890,1,-0.7,3.8,0,1.2,65.4,0,0.1,69,"2020","01"
"2020-01-03",30809,-0.1,-3.4,4.6,0,1.7,56.9,0,-0.4,78,"2020","01"
"2020-01-04",25709,1.2,-2.8,6.1,0,1.9,50.8,0,0,63,"2020","01"
"2020-01-05",23206,1.3,-3.2,6.6,0,1.1,45.6,0,-0.5,62,"2020","01"
"2020-01-06",15381,3.1,0.6,4.6,1.8,3.1,65.4,0,1,46,"2020","01"
"2020-01-07",1920,6.3,4.2,7.7,46.3,4,95,0,5.1,10,"2020","01"
"2020-01-08",21522,2.4,-0.4,8.9,11.6,3.3,86.1,0,4,32,"2020","01"
"2020-01-09",28711,-1.2,-3.1,2,0,2.3,65.3,0,1.3,54,"2020","01"
"2020-01-10",29395,-0.6,-4.3,4.2,0,1.5,62.9,0,0.2,73,"2020","01"
"2020-01-11",23246,-0.1,-2.6,3.9,0,1.9,60.9,0,0.1,60,"2020","01"
"2020-01-12",19842,-1,-3.5,2.8,0,2.4,61.5,0,0.4,53,"2020","01"
"2020-01-13",26786,-2.9,-4.7,0.2,0,2.3,51,0,-1.3,28,"2020","01"
"2020-01-14",28435,-2.3,-5.7,2.6,0,1.6,45.3,0,-1.6,34,"2020","01"
"2020-01-15",28391,-2.7,-6.4,2.2,0,1.9,44.8,0,-2,41,"2020","01"
"2020-01-16",29026,-1.7,-5.5,3.2,0,1.6,43,0,-1.6,43,"2020","01"
"2020-01-17",29626,-0.6,-4.8,4.9,0,1.5,43.9,0,-0.8,64,"2020","01"
"2020-01-18",24635,0.3,-4.1,5.9,0,1.8,48.1,0,-0.6,68,"2020","01"
"2020-01-19",17682,1.9,-0.4,5.3,0.6,2.2,62.8,0.3,0.5,72,"2020","01"
"2020-01-20",28611,0.7,-3.3,5.5,0,2.5,46.8,0,-0.1,54,"2020","01"
"2020-01-21",30618,-0.4,-5.6,5.5,0,1.4,36.9,0,-0.8,49,"2020","01"
"2020-01-22",33011,3,-0.1,7.8,0,1.7,36,0,1.3,50,"2020","01"
"2020-01-23",34466,4.6,0,9.9,0,2,49.3,0,2.2,71,"2020","01"
"2020-01-24",19230,2.8,-1.3,7.4,0,1.7,63,0,1.9,82,"2020","01"
"2020-01-25",15233,4.3,0.6,8.8,0,1.5,63.1,0,2.4,58,"2020","01"
"2020-01-26",22685,5.5,-0.2,11.9,0,2.7,56.3,0,3.5,28,"2020","01"
"2020-01-27",16836,5.9,4.8,7.5,0.1,4.6,48.1,0,3.6,10,"2020","01"
"2020-01-28",32098,6.8,4.3,9.9,0,2.6,49.4,0,4.6,11,"2020","01"
"2020-01-29",37990,6,3.2,9.6,0,2.1,46.4,0,3.7,15,"2020","01"
"2020-01-30",38079,5.2,1.4,10.4,0,1.8,47,0,3,17,"2020","01"
"2020-01-31",35857,3.9,1.4,8.9,0,2.3,59.6,0,2.8,34,"2020","01"
"2020-02-01",27151,2.6,-1.2,7.6,0,1.7,66.6,0,2.3,86,"2020","02"
"2020-02-02",22384,1.5,-2.1,5.3,0,1.8,52.3,0,1.9,90,"2020","02"
"2020-02-03",29681,-0.4,-2.9,3,0,3.1,43.6,0,2.3,29,"2020","02"
"2020-02-04",23006,-1.6,-6,3.9,1.7,2.8,50.3,0.8,0.3,32,"2020","02"
"2020-02-05",20311,-8.3,-11,-4.9,0,3.3,37.3,0,-2.5,28,"2020","02"
"2020-02-06",22401,-6.4,-11.8,0.4,0,1.9,36.4,0,-2.7,46,"2020","02"
"2020-02-07",26540,-1.7,-7.2,2.2,0,2,45.1,0,-0.4,44,"2020","02"
"2020-02-08",22046,-0.1,-2.3,3.7,0,3,48.1,0,1.4,50,"2020","02"
"2020-02-09",21099,-0.5,-5.6,4.1,0,2,51.1,0,0.5,42,"2020","02"
"2020-02-10",33956,4,-0.7,9.6,0,1.7,49.4,0,3.4,54,"2020","02"
"2020-02-11",40563,6.8,-0.5,14.6,0,1.6,37,0,0.6,68,"2020","02"
"2020-02-12",10698,7.4,6.5,8.2,6.7,2.2,73.4,0,5.8,63,"2020","02"
"2020-02-13",34375,6.5,4.9,8.7,0,1.7,84.8,0,6.6,90,"2020","02"
"2020-02-14",41229,8.1,3.2,14.7,0,1.2,70.3,0,6.9,99,"2020","02"
"2020-02-15",29837,9.8,6.2,15.6,2,2.7,63,0,6.6,76,"2020","02"
"2020-02-16",6798,-1.4,-4.3,7.7,13.4,4,81.1,3.9,2.2,58,"2020","02"
"2020-02-17",13777,-5.9,-7.1,-3.9,1,3.4,64.3,3.8,0.3,NA,"2020","02"
"2020-02-18",19773,-4.1,-8.3,1.3,0,2.3,44,0,-0.1,29,"2020","02"
"2020-02-19",32721,1,-4.4,6.4,0,1.5,56.8,0,1.8,43,"2020","02"
"2020-02-20",36027,4.6,-0.6,10.8,0,1.7,62.6,0,4,76,"2020","02"
"2020-02-21",29779,6.7,2.1,10.9,4.2,2.2,66.3,0,4.4,76,"2020","02"
"2020-02-22",18290,4,0,7.9,3.1,4,62,0,4.2,75,"2020","02"
"2020-02-23",25159,2.5,-2.5,8,0,2,48.6,0,3.6,24,"2020","02"
"2020-02-24",36094,7,0.8,12.2,0,1.6,51.8,0,6.1,42,"2020","02"
"2020-02-25",15939,6.7,4.7,9.4,16.6,4.2,73.5,0,6,28,"2020","02"
"2020-02-26",35773,6.4,2.8,10.4,0,2.1,59.6,0,5.4,21,"2020","02"
"2020-02-27",38526,6.1,1.3,12.5,0,2,54,0,6,17,"2020","02"
"2020-02-28",12644,4.5,3.6,5.9,3.9,1.4,79.4,0,4.7,32,"2020","02"
"2020-02-29",35697,7.7,4.5,13,0.5,1.7,68.6,0,8.4,26,"2020","02"
"2020-03-01",24431,5.8,3.2,10.1,0.2,2,71.8,0,5.5,57,"2020","03"
"2020-03-02",36641,3.4,0,7.6,0,2.7,55.3,0,5,42,"2020","03"
"2020-03-03",39447,4.8,0.3,10.5,0,2.6,57,0,3.7,55,"2020","03"
"2020-03-04",31269,2.2,-1.3,4.6,0,3.7,53.4,0,4,54,"2020","03"
"2020-03-05",35851,1.4,-2.8,6.3,0,2.5,47.5,0,3.8,43,"2020","03"
"2020-03-06",40897,3.7,-2.5,10.1,0,1.6,46.8,0,4.5,51,"2020","03"
"2020-03-07",42379,7,1.3,14.2,0,2,39.5,0,7,78,"2020","03"
"2020-03-08",54245,9.3,2.3,16.9,0,1.6,43.8,0,8.6,73,"2020","03"
"2020-03-09",53020,11.1,4.8,17.6,0,1.8,37.6,0,9.7,70,"2020","03"
"2020-03-10",10606,6.4,3.2,10.8,11.8,2.8,78.4,0,6.5,56,"2020","03"
"2020-03-11",45245,3.8,0,8.3,0,3.3,41.8,0,4.8,31,"2020","03"
"2020-03-12",50094,6.8,0.2,13.3,0,2.5,49.8,0,5.5,33,"2020","03"
"2020-03-13",43554,4.9,-0.1,8.7,0.5,3.3,41,0,7.7,32,"2020","03"
"2020-03-14",42569,3.6,-2.7,8.6,0,3,48.1,0,5.6,46,"2020","03"
"2020-03-15",33215,4,0.2,8.5,0,3.6,48.3,0,6.2,43,"2020","03"
"2020-03-16",42441,3.6,-2.1,9.1,0,2.8,42.4,0,6.1,25,"2020","03"
"2020-03-17",47241,6.6,3.1,12.3,0,2.1,65.8,0,7.5,48,"2020","03"
"2020-03-18",62119,10,2.7,17,0,1.8,45.8,0,9.8,66,"2020","03"
"2020-03-19",24256,9.1,5.8,12.1,0,4.8,49,0,9.9,57,"2020","03"
"2020-03-20",53839,8.8,3.1,14,0,3.1,39.6,0,9.9,30,"2020","03"
"2020-03-21",63759,12.8,7.9,19.5,0,2,56.5,0,13.9,44,"2020","03"
"2020-03-22",64436,11,6.1,16.5,0,3,37.5,0,13.6,40,"2020","03"
"2020-03-23",63686,10.6,5.4,17,0,1.9,37.9,0,12.6,55,"2020","03"
"2020-03-24",69998,11.4,5.3,17.9,0,1.8,35,0,13.2,63,"2020","03"
"2020-03-25",73460,12.5,6.1,19.2,0,1.9,33.6,0,13.9,56,"2020","03"
"2020-03-26",47633,14.8,8.1,20.6,1.8,1.9,53.8,0,13.5,57,"2020","03"
"2020-03-27",60183,11.9,6.7,15.8,2,3.3,56.4,0,14.4,47,"2020","03"
"2020-03-28",64677,7.7,4.5,12.8,0,3.2,17.9,0,10.8,31,"2020","03"
"2020-03-29",68430,8.7,1.3,16.1,0,2,30.6,0,11.8,43,"2020","03"
"2020-03-30",69293,10.2,4.3,16.9,0,1.8,38.4,0,13.3,59,"2020","03"
"2020-03-31",74621,11.9,4.7,18.6,0,2,34.5,0,14.5,52,"2020","03"
"2020-04-01",70258,11.3,6,17.4,0,3.7,35.6,0,15,81,"2020","04"
"2020-04-02",72129,9.3,3.4,15.5,0,2.3,41.4,0,13.1,44,"2020","04"
"2020-04-03",74856,10,5.3,16.3,0,2.7,53.8,0,14.2,64,"2020","04"
"2020-04-04",66405,8.9,5,13.3,0,3.4,36.4,0,13.8,69,"2020","04"
"2020-04-05",64111,7.2,1.9,13.7,0,2.8,29.5,0,12.4,49,"2020","04"
"2020-04-06",68414,9.3,2.9,16.1,0,2.4,38.3,0,13.8,55,"2020","04"
"2020-04-07",73685,10.6,6,16.8,0,2.5,56.6,0,14.8,56,"2020","04"
"2020-04-08",72863,9.4,5.2,14.2,0,3.5,25.5,0,14.3,41,"2020","04"
"2020-04-09",73382,8.9,4.3,14.7,0,2.8,44.6,0,14,48,"2020","04"
"2020-04-10",75021,10.7,5.8,16.8,0,2.4,52.6,0,17,42,"2020","04"
"2020-04-11",75637,9.9,6.2,16,0,2.5,63.8,0,15.6,40,"2020","04"
"2020-04-12",63335,9.9,4.4,15.6,0,3.8,58.6,0,13.2,34,"2020","04"
"2020-04-13",77604,12.4,4.3,20.4,0,3.1,39.4,0,18,21,"2020","04"
"2020-04-14",83798,13,7.6,19.6,0,2.4,46.8,0,18.7,55,"2020","04"
"2020-04-15",89789,13.2,7.2,20.2,0,2.2,39.8,0,17.5,77,"2020","04"
"2020-04-16",83970,16,8.9,23.8,0,2.3,39.9,0,20.1,64,"2020","04"
"2020-04-17",35656,12.5,10.4,15.4,6.5,2.4,77.8,0,12.1,47,"2020","04"
"2020-04-18",92829,13.5,8.5,19.6,0,2.6,67.9,0,18.1,31,"2020","04"
"2020-04-19",29375,12.3,9.5,15.5,10.3,2.7,75.8,0,12.5,27,"2020","04"
"2020-04-20",56129,10,7.6,13.1,0.1,3.3,73,0,10.2,19,"2020","04"
"2020-04-21",58746,7.4,4.8,10.4,0,4.4,49,0,12.2,33,"2020","04"
"2020-04-22",51337,6,4.1,8.3,0,4,46.8,0,9.8,64,"2020","04"
"2020-04-23",64765,7.9,2.9,12.8,0,3.7,47.8,0,12.7,39,"2020","04"
"2020-04-24",72883,9.9,4.1,14.3,0,3.9,55.6,0,14.5,35,"2020","04"
"2020-04-25",78419,13.1,9.9,17.1,0,3.9,54.4,0,15.7,51,"2020","04"
"2020-04-26",82600,12.3,6.8,19,0,3.2,43.1,0,18.3,35,"2020","04"
"2020-04-27",77149,12.9,8.7,18.3,0,2.8,49.8,0,17.1,37,"2020","04"
"2020-04-28",86541,13.9,7.8,19.9,0,3,50,0,20.1,42,"2020","04"
"2020-04-29",88827,14.9,9.3,21,0,2.6,48.6,0,21.1,53,"2020","04"
"2020-04-30",96877,17.1,9.3,23.4,0,2.7,57.1,0,23,38,"2020","04"
"2020-05-01",93249,20.2,16.4,26.2,0,2.7,73.6,0,25.7,50,"2020","05"
"2020-05-02",88508,20.3,18,23.9,0,2.3,79.6,0,22.7,44,"2020","05"
"2020-05-03",89287,21.8,17,27.4,0,2,68.8,0,26.7,28,"2020","05"
"2020-05-04",93579,20.2,14.8,25.3,0,2.7,63.9,0,28.9,35,"2020","05"
"2020-05-05",88219,16,13.1,19.3,0,1.9,67.9,0,17.1,33,"2020","05"
"2020-05-06",88561,19.4,11.1,27.6,0,2.1,50,0,26.5,36,"2020","05"
"2020-05-07",90645,20.7,14.9,26.5,0,2.5,32.5,0,25.7,33,"2020","05"
"2020-05-08",63474,19.9,14.3,27.3,2.3,2.4,32.8,0,27.3,34,"2020","05"
"2020-05-09",7600,14.2,12.7,16.8,24.4,3.6,94.4,0,15.1,16,"2020","05"
"2020-05-10",65932,14.4,12.8,16.6,1.3,2.5,88.6,0,15.7,37,"2020","05"
"2020-05-11",76042,16.5,12.4,22,3.4,3,61,0,20.2,98,"2020","05"
"2020-05-12",78200,14.3,10.5,18.9,0.7,2.9,69.4,0,17.6,38,"2020","05"
"2020-05-13",89183,16.1,10.2,21.8,0,2.8,47.3,0,20.5,34,"2020","05"
"2020-05-14",89149,19.3,12.4,25.4,0,2,35.4,0,21.8,42,"2020","05"
"2020-05-15",13782,16.1,14.1,20.2,12,3,81.4,0,15.9,33,"2020","05"
"2020-05-16",64549,16.7,15,20.3,2.5,1.6,90.3,0,18.3,29,"2020","05"
"2020-05-17",89449,19.1,14.6,24.9,0,1.7,80.1,0,21.2,44,"2020","05"
"2020-05-18",36761,19.1,13.2,26.8,29.8,2.4,79.4,0,21.6,44,"2020","05"
"2020-05-19",55556,13,10.1,17.1,19,3.2,73.6,0,16.1,NA,"2020","05"
"2020-05-20",88257,14.4,9.2,20.1,0,1.9,60.4,0,17.3,15,"2020","05"
"2020-05-21",93930,17.4,10.9,22.9,0,2.1,56.1,0,20.5,25,"2020","05"
"2020-05-22",89317,18.5,14.8,22.7,0,1.9,68.5,0,20,53,"2020","05"
"2020-05-23",101256,20.1,16.6,25,0,2.2,66.1,0,23.3,50,"2020","05"
"2020-05-24",80357,17.1,14.3,20.2,14.5,2.9,84.8,0,19,29,"2020","05"
"2020-05-25",92531,16.6,13.7,21.3,0,2.1,81,0,20.3,45,"2020","05"
"2020-05-26",68498,16.2,12.7,22.9,1.5,2.1,81.9,0,19.2,48,"2020","05"
"2020-05-27",101949,17.4,11.8,23.9,0,2.6,68.5,0,21.4,19,"2020","05"
"2020-05-28",99792,18.7,14.2,23.4,0,1.9,62.8,0,20.5,24,"2020","05"
"2020-05-29",103999,20.7,14.6,27.6,0,2,65.6,0,24.3,30,"2020","05"
"2020-05-30",105172,22.6,16.5,30,0,1.9,57.3,0,27.6,33,"2020","05"
"2020-05-31",93547,21.2,17.6,28,1,2.3,63,0,25.7,34,"2020","05"
"2020-06-01",99930,19.7,16.6,24.5,0.4,3.4,64.3,0,26.6,25,"2020","06"
"2020-06-02",79833,17.9,14.8,21.8,2,2.2,71,0,18.3,NA,"2020","06"
"2020-06-03",103887,22,17.6,28.4,0,2.4,73.3,0,27.1,56,"2020","06"
"2020-06-04",97656,21.9,19.7,26.5,0.2,2.7,81.1,0,26.8,71,"2020","06"
"2020-06-05",107343,23,18.4,28.7,0,1.8,69.4,0,29.8,42,"2020","06"
"2020-06-06",105033,24.6,19.2,30.9,0,2,63.6,0,31.4,48,"2020","06"
"2020-06-07",101848,22.7,19.2,29.2,0,2.3,69.4,0,30.2,41,"2020","06"
"2020-06-08",103582,25,19.8,32,0,2.1,63.6,0,32.7,39,"2020","06"
"2020-06-09",102084,26.7,20.3,32.8,0,2.3,51.6,0,34.1,47,"2020","06"
"2020-06-10",58133,25.8,22.5,32.1,6.2,2,63.8,0,32.8,47,"2020","06"
"2020-06-11",100031,26.1,21.7,31.6,0,2.2,68.3,0,30.1,NA,"2020","06"
"2020-06-12",109210,24.7,21.6,27.6,0,1.7,68.6,0,25.8,NA,"2020","06"
"2020-06-13",90396,26.9,20.6,33.5,0,1.9,52.8,0,34.6,52,"2020","06"
"2020-06-14",94406,24,20.1,28.8,1.1,2.9,70.6,0,29.6,NA,"2020","06"
"2020-06-15",108320,23,18.2,28.6,0,2.8,62.3,0,31.1,35,"2020","06"
"2020-06-16",106519,24.4,20,30.7,0,2.2,63,0,32.2,NA,"2020","06"
"2020-06-17",107723,24.3,20.2,30.3,0,2,58.6,0,31.1,NA,"2020","06"
"2020-06-18",110377,23.4,20.3,27.3,0,1.6,61.4,0,26.7,40,"2020","06"
"2020-06-19",109124,24.7,21.1,30,0.1,2.1,61.4,0,29.6,30,"2020","06"
"2020-06-20",102333,24.9,20.7,29.7,0,2.1,62.6,0,31.9,40,"2020","06"
"2020-06-21",95453,26.1,19.5,32.7,0,2,59.5,0,34.1,38,"2020","06"
